120;Rugrats - Castle Capers;None;4194304;THQ;1;Venom;2;8AABD86A;9F400110;5ECCDFF1;;120;;0
121;Power Rangers - Time Force;None;4194304;THQ;1;Mode 7;2;70359B35;C7A9029A;4EBF17F4;;121;;0
122;Z.O.E. 2173 - Testament;Flash_v126;8388608;Konami;7;Eurasia;256;9FEEF66D;766F1B2A;DBC5766C;;122;;0
123;Lady Sia;Eeprom_v122;4194304;TDK;0;Mode 7;4307;958097D2;E2F44434;8330414D;;123;;0
124;High Heat Major League Baseball 2002;Eeprom_v122;4194304;3DO;1;Mode 7;2;6EA3F4E4;D3BE815A;3AC70836;;124;;0
125;X-Men - Reign of Apocalypse;Eeprom_v121;8388608;Activision;16;Venom;2;25F43491;B9372F71;97405784;;125;;0
126;Dexter's Laboratory - Deesaster Strikes!;Eeprom_v122;4194304;BAM!;1;Venom;4291;E948D412;FDB06FDB;A3E02E29;;126;;0
127;MX 2002 featuring Ricky Carmichael;None;4194304;THQ;16;Mode 7;2;0BF1DC56;0ABC69EA;56369C61;;127;;0
128;Final Fight One;Eeprom_v121;4194304;Capcom;1;Mode 7;2;052C9997;3614188A;4378E2B0;;128;;0
129;Nobunaga no Yabou;Flash_v125;4194304;Koei;7;Eurasia;256;EF23C79E;85EA050E;C4C2EF24;;129;;0
130;LEGO Bionicle;Sram_v112;8388608;LEGO Media;1;Mode 7;3;3E5EC871;16C336FC;AAD4F54D;;130;;0
131;LEGO Island 2 - The Brickster's Revenge;Sram_v112;8388608;LEGO Media;1;Mode 7;3;3F513CBF;E10C71E9;EDF117B1;;131;;0
132;Kiki Kaikai Advance;None;4194304;Altron;7;Eurasia;256;1C61225B;00410383;CE2F1777;;132;;0
133;Snood;None;4194304;Destination Software;1;Mode 7;2;F1F1F148;C62820FF;82C7E849;;133;;0
134;Sports Illustrated for Kids - Baseball;Sram_v112;4194304;BAM!;1;Venom;2;616088DF;3CF508BB;65E36DC9;;134;;0
135;Hatena Satena;Sram_v110;4194304;Hudson;7;Eurasia;256;6139E34D;00756118;47CB28B5;;135;;0
136;Wild Thornberrys, The - Chimp Chase;None;4194304;THQ;1;Venom;2;F0CA0689;1098A84D;3416B8E6;;136;;0
137;Scooby-Doo and the Cyber Chase;None;4194304;THQ;1;Venom;2;CF2DBA97;4BE389C4;83C4BDD8;;137;;0
